[core_node-2] [INFO] [1778074291.502430457] [core_node]: 本帧处理耗时: 接受图像 = 0.5143 ms, 预处理 = 3.3280 ms, pnp 解算 = 0.4946 ms, tf 变换 + 滤波 = 0.5040 ms, 重投影 + 发布消息 = 0.4221 ms. 总耗时 = 5.2630 ms, t1_1 = 0.0003 ms, t1_2 = 1.3702 ms, t1_3 = 1.3584 ms, t1_4 = 0.5967 ms
[core_node-2] [INFO] [1778074291.514918240] [core_node]: 本帧处理耗时: 接受图像 = 0.6866 ms, 预处理 = 5.6258 ms, pnp 解算 = 0.2732 ms, tf 变换 + 滤波 = 0.2889 ms, 重投影 + 发布消息 = 0.2670 ms. 总耗时 = 7.1416 ms, t1_1 = 0.0010 ms, t1_2 = 4.6826 ms, t1_3 = 0.9056 ms, t1_4 = 0.0354 ms
[core_node-2] [INFO] [1778074291.522017522] [core_node]: 本帧处理耗时: 接受图像 = 0.6295 ms, 预处理 = 2.6204 ms, pnp 解算 = 0.3067 ms, tf 变换 + 滤波 = 0.2946 ms, 重投影 + 发布消息 = 0.2748 ms. 总耗时 = 4.1259 ms, t1_1 = 0.0003 ms, t1_2 = 1.3173 ms, t1_3 = 0.8895 ms, t1_4 = 0.4116 ms
[core_node-2] [INFO] [1778074291.534159763] [core_node]: 本帧处理耗时: 接受图像 = 0.4175 ms, 预处理 = 3.9063 ms, pnp 解算 = 0.3769 ms, tf 变换 + 滤波 = 0.2440 ms, 重投影 + 发布消息 = 0.2323 ms. 总耗时 = 5.1771 ms, t1_1 = 0.0004 ms, t1_2 = 2.8535 ms, t1_3 = 1.0056 ms, t1_4 = 0.0437 ms
[core_node-2] [INFO] [1778074291.540284438] [core_node]: 本帧处理耗时: 接受图像 = 0.4031 ms, 预处理 = 2.1944 ms, pnp 解算 = 0.2549 ms, tf 变换 + 滤波 = 0.2304 ms, 重投影 + 发布消息 = 0.2160 ms. 总耗时 = 3.2987 ms, t1_1 = 0.0004 ms, t1_2 = 1.0914 ms, t1_3 = 0.7948 ms, t1_4 = 0.3069 ms
[core_node-2] [INFO] [1778074291.554433624] [core_node]: 本帧处理耗时: 接受图像 = 0.6051 ms, 预处理 = 6.2640 ms, pnp 解算 = 0.3707 ms, tf 变换 + 滤波 = 0.4032 ms, 重投影 + 发布消息 = 0.3101 ms. 总耗时 = 7.9531 ms, t1_1 = 0.0003 ms, t1_2 = 5.0561 ms, t1_3 = 1.1709 ms, t1_4 = 0.0348 ms
[core_node-2] [INFO] [1778074291.564624551] [core_node]: 本帧处理耗时: 接受图像 = 1.2090 ms, 预处理 = 4.2307 ms, pnp 解算 = 0.5045 ms, tf 变换 + 滤波 = 0.5443 ms, 重投影 + 发布消息 = 0.3959 ms. 总耗时 = 6.8845 ms, t1_1 = 0.0003 ms, t1_2 = 2.1303 ms, t1_3 = 1.5312 ms, t1_4 = 0.5655 ms
[core_node-2] [INFO] [1778074291.573890604] [core_node]: 本帧处理耗时: 接受图像 = 0.5521 ms, 预处理 = 4.2441 ms, pnp 解算 = 0.3081 ms, tf 变换 + 滤波 = 0.3265 ms, 重投影 + 发布消息 = 0.2767 ms. 总耗时 = 5.7074 ms, t1_1 = 0.0004 ms, t1_2 = 3.3542 ms, t1_3 = 0.8514 ms, t1_4 = 0.0358 ms
[rm_serial_driver_node-3] [INFO] [1778074291.580590712] [serial_driver]: 电控消息 发布频率: 999.65 Hz
[core_node-2] [INFO] [1778074291.585093768] [core_node]: 本帧处理耗时: 接受图像 = 1.0360 ms, 预处理 = 5.0808 ms, pnp 解算 = 0.4487 ms, tf 变换 + 滤波 = 0.4483 ms, 重投影 + 发布消息 = 0.3851 ms. 总耗时 = 7.3989 ms, t1_1 = 0.0009 ms, t1_2 = 2.7341 ms, t1_3 = 1.5005 ms, t1_4 = 0.8433 ms
[core_node-2] [INFO] [1778074291.594032084] [core_node]: 本帧处理耗时: 接受图像 = 0.4804 ms, 预处理 = 4.2357 ms, pnp 解算 = 0.2621 ms, tf 变换 + 滤波 = 0.3040 ms, 重投影 + 发布消息 = 0.2329 ms. 总耗时 = 5.5151 ms, t1_1 = 0.0003 ms, t1_2 = 3.3377 ms, t1_3 = 0.8632 ms, t1_4 = 0.0335 ms
[core_node-2] [INFO] [1778074291.600567134] [core_node]: 本帧处理耗时: 接受图像 = 0.4409 ms, 预处理 = 2.4008 ms, pnp 解算 = 0.2994 ms, tf 变换 + 滤波 = 0.3030 ms, 重投影 + 发布消息 = 0.2838 ms. 总耗时 = 3.7279 ms, t1_1 = 0.0001 ms, t1_2 = 1.1618 ms, t1_3 = 0.8766 ms, t1_4 = 0.3615 ms
[core_node-2] [INFO] [1778074291.610124048] [core_node]: 本帧处理耗时: 接受图像 = 0.8421 ms, 预处理 = 4.4388 ms, pnp 解算 = 0.2761 ms, tf 变换 + 滤波 = 0.3147 ms, 重投影 + 发布消息 = 0.2481 ms. 总耗时 = 6.1198 ms, t1_1 = 0.0007 ms, t1_2 = 3.4274 ms, t1_3 = 0.9736 ms, t1_4 = 0.0361 ms
[core_node-2] [INFO] [1778074291.617822696] [core_node]: 本帧处理耗时: 接受图像 = 0.7435 ms, 预处理 = 2.7573 ms, pnp 解算 = 0.2587 ms, tf 变换 + 滤波 = 0.2732 ms, 重投影 + 发布消息 = 0.2539 ms. 总耗时 = 4.2866 ms, t1_1 = 0.0000 ms, t1_2 = 1.4412 ms, t1_3 = 0.9400 ms, t1_4 = 0.3747 ms
[core_node-2] [INFO] [1778074291.626979301] [core_node]: 本帧处理耗时: 接受图像 = 0.4008 ms, 预处理 = 4.9055 ms, pnp 解算 = 0.2882 ms, tf 变换 + 滤波 = 0.3827 ms, 重投影 + 发布消息 = 0.2788 ms. 总耗时 = 6.2560 ms, t1_1 = 0.0003 ms, t1_2 = 3.7326 ms, t1_3 = 1.1364 ms, t1_4 = 0.0346 ms
[core_node-2] [INFO] [1778074291.634887432] [core_node]: 本帧处理耗时: 接受图像 = 0.4909 ms, 预处理 = 3.3200 ms, pnp 解算 = 0.3758 ms, tf 变换 + 滤波 = 0.3215 ms, 重投影 + 发布消息 = 0.2872 ms. 总耗时 = 4.7954 ms, t1_1 = 0.0004 ms, t1_2 = 1.8476 ms, t1_3 = 1.0376 ms, t1_4 = 0.4324 ms
[core_node-2] [INFO] [1778074291.644744782] [core_node]: 本帧处理耗时: 接受图像 = 0.5529 ms, 预处理 = 5.3339 ms, pnp 解算 = 0.2791 ms, tf 变换 + 滤波 = 0.2800 ms, 重投影 + 发布消息 = 0.2473 ms. 总耗时 = 6.6932 ms, t1_1 = 0.0003 ms, t1_2 = 4.2985 ms, t1_3 = 0.9937 ms, t1_4 = 0.0398 ms
[core_node-2] [INFO] [1778074291.651239916] [core_node]: 本帧处理耗时: 接受图像 = 0.4038 ms, 预处理 = 2.2620 ms, pnp 解算 = 0.2894 ms, tf 变换 + 滤波 = 0.3183 ms, 重投影 + 发布消息 = 0.2495 ms. 总耗时 = 3.5230 ms, t1_1 = 0.0003 ms, t1_2 = 1.0024 ms, t1_3 = 0.8209 ms, t1_4 = 0.4370 ms
[core_node-2] [INFO] [1778074291.661270577] [core_node]: 本帧处理耗时: 接受图像 = 1.1679 ms, 预处理 = 4.5816 ms, pnp 解算 = 0.3681 ms, tf 变换 + 滤波 = 0.3222 ms, 重投影 + 发布消息 = 0.2291 ms. 总耗时 = 6.6689 ms, t1_1 = 0.0007 ms, t1_2 = 3.4844 ms, t1_3 = 1.0586 ms, t1_4 = 0.0360 ms
[core_node-2] [INFO] [1778074291.668344779] [core_node]: 本帧处理耗时: 接受图像 = 0.5528 ms, 预处理 = 2.5196 ms, pnp 解算 = 0.2932 ms, tf 变换 + 滤波 = 0.2960 ms, 重投影 + 发布消息 = 0.2425 ms. 总耗时 = 3.9041 ms, t1_1 = 0.0003 ms, t1_2 = 1.3804 ms, t1_3 = 0.8085 ms, t1_4 = 0.3288 ms
[core_node-2] [INFO] [1778074291.677228912] [core_node]: 本帧处理耗时: 接受图像 = 0.5108 ms, 预处理 = 4.5126 ms, pnp 解算 = 0.3384 ms, tf 变换 + 滤波 = 0.3066 ms, 重投影 + 发布消息 = 0.2466 ms. 总耗时 = 5.9150 ms, t1_1 = 0.0002 ms, t1_2 = 3.4362 ms, t1_3 = 1.0250 ms, t1_4 = 0.0494 ms
[core_node-2] [INFO] [1778074291.684779884] [core_node]: 本帧处理耗时: 接受图像 = 0.6411 ms, 预处理 = 2.8286 ms, pnp 解算 = 0.3293 ms, tf 变换 + 滤波 = 0.3337 ms, 重投影 + 发布消息 = 0.3024 ms. 总耗时 = 4.4352 ms, t1_1 = 0.0003 ms, t1_2 = 1.5060 ms, t1_3 = 0.9487 ms, t1_4 = 0.3720 ms
[core_node-2] [INFO] [1778074291.693214337] [core_node]: 本帧处理耗时: 接受图像 = 0.5687 ms, 预处理 = 3.7139 ms, pnp 解算 = 0.2643 ms, tf 变换 + 滤波 = 0.2811 ms, 重投影 + 发布消息 = 0.2228 ms. 总耗时 = 5.0509 ms, t1_1 = 0.0003 ms, t1_2 = 2.8568 ms, t1_3 = 0.8235 ms, t1_4 = 0.0320 ms
[core_node-2] [INFO] [1778074291.700347463] [core_node]: 本帧处理耗时: 接受图像 = 0.4026 ms, 预处理 = 2.9795 ms, pnp 解算 = 0.2912 ms, tf 变换 + 滤波 = 0.3361 ms, 重投影 + 发布消息 = 0.2437 ms. 总耗时 = 4.2530 ms, t1_1 = 0.0004 ms, t1_2 = 1.5972 ms, t1_3 = 1.0038 ms, t1_4 = 0.3761 ms
[core_node-2] [INFO] [1778074291.709758739] [core_node]: 本帧处理耗时: 接受图像 = 0.5927 ms, 预处理 = 4.1254 ms, pnp 解算 = 0.3033 ms, tf 变换 + 滤波 = 0.3956 ms, 重投影 + 发布消息 = 0.2533 ms. 总耗时 = 5.6704 ms, t1_1 = 0.0007 ms, t1_2 = 3.1239 ms, t1_3 = 0.9544 ms, t1_4 = 0.0453 ms
[core_node-2] [INFO] [1778074291.717051666] [core_node]: 本帧处理耗时: 接受图像 = 0.5530 ms, 预处理 = 2.8588 ms, pnp 解算 = 0.2989 ms, tf 变换 + 滤波 = 0.3092 ms, 重投影 + 发布消息 = 0.2563 ms. 总耗时 = 4.2763 ms, t1_1 = 0.0004 ms, t1_2 = 1.4970 ms, t1_3 = 0.8984 ms, t1_4 = 0.4612 ms
[core_node-2] [INFO] [1778074291.725292907] [core_node]: 本帧处理耗时: 接受图像 = 0.5154 ms, 预处理 = 3.8892 ms, pnp 解算 = 0.2813 ms, tf 变换 + 滤波 = 0.2524 ms, 重投影 + 发布消息 = 0.2221 ms. 总耗时 = 5.1604 ms, t1_1 = 0.0005 ms, t1_2 = 3.0618 ms, t1_3 = 0.7922 ms, t1_4 = 0.0330 ms
[core_node-2] [INFO] [1778074291.732692301] [core_node]: 本帧处理耗时: 接受图像 = 0.6869 ms, 预处理 = 2.8275 ms, pnp 解算 = 0.2770 ms, tf 变换 + 滤波 = 0.2721 ms, 重投影 + 发布消息 = 0.2175 ms. 总耗时 = 4.2809 ms, t1_1 = 0.0005 ms, t1_2 = 1.4495 ms, t1_3 = 0.8871 ms, t1_4 = 0.4885 ms
[core_node-2] [INFO] [1778074291.742381478] [core_node]: 本帧处理耗时: 接受图像 = 1.0305 ms, 预处理 = 4.2688 ms, pnp 解算 = 0.3556 ms, tf 变换 + 滤波 = 0.3069 ms, 重投影 + 发布消息 = 0.2271 ms. 总耗时 = 6.1889 ms, t1_1 = 0.0006 ms, t1_2 = 3.4002 ms, t1_3 = 0.8244 ms, t1_4 = 0.0418 ms
[core_node-2] [INFO] [1778074291.750316410] [core_node]: 本帧处理耗时: 接受图像 = 0.4702 ms, 预处理 = 3.1773 ms, pnp 解算 = 0.3223 ms, tf 变换 + 滤波 = 0.2751 ms, 重投影 + 发布消息 = 0.2481 ms. 总耗时 = 4.4931 ms, t1_1 = 0.0003 ms, t1_2 = 1.8862 ms, t1_3 = 0.9044 ms, t1_4 = 0.3849 ms
[core_node-2] [INFO] [1778074291.760013691] [core_node]: 本帧处理耗时: 接受图像 = 0.9051 ms, 预处理 = 4.6116 ms, pnp 解算 = 0.3128 ms, tf 变换 + 滤波 = 0.3972 ms, 重投影 + 发布消息 = 0.2841 ms. 总耗时 = 6.5107 ms, t1_1 = 0.0003 ms, t1_2 = 3.6486 ms, t1_3 = 0.9271 ms, t1_4 = 0.0334 ms
[core_node-2] [INFO] [1778074291.767993778] [core_node]: 本帧处理耗时: 接受图像 = 0.5904 ms, 预处理 = 2.9319 ms, pnp 解算 = 0.3470 ms, tf 变换 + 滤波 = 0.2968 ms, 重投影 + 发布消息 = 0.2579 ms. 总耗时 = 4.4240 ms, t1_1 = 0.0004 ms, t1_2 = 1.4223 ms, t1_3 = 0.9710 ms, t1_4 = 0.5361 ms
[core_node-2] [INFO] [1778074291.777493964] [core_node]: 本帧处理耗时: 接受图像 = 0.5736 ms, 预处理 = 4.4947 ms, pnp 解算 = 0.2756 ms, tf 变换 + 滤波 = 0.3570 ms, 重投影 + 发布消息 = 0.2761 ms. 总耗时 = 5.9770 ms, t1_1 = 0.0003 ms, t1_2 = 3.5281 ms, t1_3 = 0.9275 ms, t1_4 = 0.0380 ms
[core_node-2] [INFO] [1778074291.784723047] [core_node]: 本帧处理耗时: 接受图像 = 0.5655 ms, 预处理 = 2.7030 ms, pnp 解算 = 0.3026 ms, tf 变换 + 滤波 = 0.2809 ms, 重投影 + 发布消息 = 0.2403 ms. 总耗时 = 4.0923 ms, t1_1 = 0.0004 ms, t1_2 = 1.3627 ms, t1_3 = 0.8696 ms, t1_4 = 0.4682 ms
[core_node-2] [INFO] [1778074291.794226137] [core_node]: 本帧处理耗时: 接受图像 = 0.5109 ms, 预处理 = 3.9576 ms, pnp 解算 = 0.3011 ms, tf 变换 + 滤波 = 1.1810 ms, 重投影 + 发布消息 = 0.5484 ms. 总耗时 = 6.4989 ms, t1_1 = 0.0003 ms, t1_2 = 3.0199 ms, t1_3 = 0.8934 ms, t1_4 = 0.0414 ms
[core_node-2] [INFO] [1778074291.804900736] [core_node]: 本帧处理耗时: 接受图像 = 1.2750 ms, 预处理 = 4.2648 ms, pnp 解算 = 0.2969 ms, tf 变换 + 滤波 = 0.3509 ms, 重投影 + 发布消息 = 0.2358 ms. 总耗时 = 6.4234 ms, t1_1 = 0.0005 ms, t1_2 = 2.6046 ms, t1_3 = 1.1807 ms, t1_4 = 0.4772 ms
[core_node-2] [INFO] [1778074291.813759126] [core_node]: 本帧处理耗时: 接受图像 = 0.6070 ms, 预处理 = 4.1711 ms, pnp 解算 = 0.2564 ms, tf 变换 + 滤波 = 0.2703 ms, 重投影 + 发布消息 = 0.2323 ms. 总耗时 = 5.5370 ms, t1_1 = 0.0006 ms, t1_2 = 3.3094 ms, t1_3 = 0.8289 ms, t1_4 = 0.0310 ms
[core_node-2] [INFO] [1778074291.821993875] [core_node]: 本帧处理耗时: 接受图像 = 0.8063 ms, 预处理 = 3.3027 ms, pnp 解算 = 0.3530 ms, tf 变换 + 滤波 = 0.3701 ms, 重投影 + 发布消息 = 0.2625 ms. 总耗时 = 5.0947 ms, t1_1 = 0.0010 ms, t1_2 = 1.6974 ms, t1_3 = 1.1099 ms, t1_4 = 0.4924 ms
[core_node-2] [INFO] [1778074291.831637144] [core_node]: 本帧处理耗时: 接受图像 = 0.7142 ms, 预处理 = 4.4460 ms, pnp 解算 = 0.2628 ms, tf 变换 + 滤波 = 0.2742 ms, 重投影 + 发布消息 = 0.2772 ms. 总耗时 = 5.9744 ms, t1_1 = 0.0004 ms, t1_2 = 3.4488 ms, t1_3 = 0.9634 ms, t1_4 = 0.0313 ms
[core_node-2] [INFO] [1778074291.840952331] [core_node]: 本帧处理耗时: 接受图像 = 0.7432 ms, 预处理 = 2.7598 ms, pnp 解算 = 0.2930 ms, tf 变换 + 滤波 = 0.2846 ms, 重投影 + 发布消息 = 0.6210 ms. 总耗时 = 4.7016 ms, t1_1 = 0.0003 ms, t1_2 = 1.4820 ms, t1_3 = 0.9384 ms, t1_4 = 0.3374 ms
[core_node-2] [INFO] [1778074291.852802169] [core_node]: 本帧处理耗时: 接受图像 = 0.9540 ms, 预处理 = 5.0381 ms, pnp 解算 = 0.3018 ms, tf 变换 + 滤波 = 0.2869 ms, 重投影 + 发布消息 = 0.2379 ms. 总耗时 = 6.8186 ms, t1_1 = 0.0005 ms, t1_2 = 3.9860 ms, t1_3 = 1.0136 ms, t1_4 = 0.0357 ms
[core_node-2] [INFO] [1778074291.860733186] [core_node]: 本帧处理耗时: 接受图像 = 0.7088 ms, 预处理 = 3.0411 ms, pnp 解算 = 0.2915 ms, tf 变换 + 滤波 = 0.3104 ms, 重投影 + 发布消息 = 0.2980 ms. 总耗时 = 4.6498 ms, t1_1 = 0.0004 ms, t1_2 = 1.6471 ms, t1_3 = 1.0127 ms, t1_4 = 0.3791 ms
